date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:55	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2004%20Jun%202021%2015:56:33%20GMT	https://www.shgtechnologies.com/robots.txt		(from )
21:50:56	44397/44397	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:20:55%20GMT	https://www.shgtechnologies.com/	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/index.html	(from )
21:50:56	162017/162017	---M-Z	200	added ('OK')	text/css	etag:W/%22278e1-H7g/xZXPKL+TYth2EOrfo7e7vlk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/webproduct/cdn.jsdelivr.net/npm/bootstrap@4.6.1/dist/css/bootstrap.min.css	(from https://www.shgtechnologies.com/)
21:50:56	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/webproduct/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.shgtechnologies.com/)
21:50:57	3519/3519	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2010:14:07%20GMT	https://www.shgtechnologies.com/css/custom.css	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/css/custom.css	(from https://www.shgtechnologies.com/)
21:50:57	556/556	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Jun%202022%2012:27:22%20GMT	https://www.shgtechnologies.com/images/playbutton.svg	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/playbutton.svg	(from https://www.shgtechnologies.com/)
21:50:59	36398/36398	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:20:58%20GMT	https://www.shgtechnologies.com/about-us	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/about-us.html	(from https://www.shgtechnologies.com/)
21:50:59	157177/157177	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:20:58%20GMT	https://www.shgtechnologies.com/products	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/products.html	(from https://www.shgtechnologies.com/)
21:51:00	656/656	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2026%20May%202022%2005:32:58%20GMT	https://www.shgtechnologies.com/images/white-menu.svg	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/white-menu.svg	(from https://www.shgtechnologies.com/)
21:51:00	39855/39855	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:21:00%20GMT	https://www.shgtechnologies.com/media-coverage	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/media-coverage.html	(from https://www.shgtechnologies.com/)
21:51:01	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Jan%202023%2016:21:01%20GMT	https://www.shgtechnologies.com/images/612fec8a5d56d80ce1c2f4e0_20210831%20-%20Celesta%20Web%20Header%20Cutdown_v04%20(1	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/612fec8a5d56d80ce1c2f4e0_20210831%20-%20Celesta%20Web%20Header%20Cutdown_v04%20(1	(from https://www.shgtechnologies.com/)
21:51:01	498486/498486	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Dec%202020%2008:47:53%20GMT	https://www.shgtechnologies.com/images/logo-3200x1143.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/logo-3200x1143.png	(from https://www.shgtechnologies.com/)
21:51:02	9853/9853	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2008:05:24%20GMT	https://www.shgtechnologies.com/images/things.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/things.png	(from https://www.shgtechnologies.com/)
21:51:03	22740/22740	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2008:05:24%20GMT	https://www.shgtechnologies.com/images/walk.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/walk.png	(from https://www.shgtechnologies.com/)
21:51:04	30313/30313	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2008:05:24%20GMT	https://www.shgtechnologies.com/images/book.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/book.png	(from https://www.shgtechnologies.com/)
21:51:04	24500/24500	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Sep%202021%2008:05:24%20GMT	https://www.shgtechnologies.com/images/person.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/person.png	(from https://www.shgtechnologies.com/)
